142, 2022-04-01, Monthly Stand Fees, 1921, 175.00, 26.25, 201.25
143, 2022-04-01, Daily Rental Fees, 1922, 60.00, 9.00, 69.00
144, 2022-04-01, Daily Rental Fees, 1923, 60.00, 9.00, 69.00
145, 2022-04-02, Daily Rental Fees, 1924, 60.00, 9.00, 69.00
146, 2022-04-02, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25
147, 2022-04-02, Monthly Stand Fees, 1926, 175.00, 26.25, 201.25
148, 2022-04-03, Weekly Rental Fees, 1927, 300.00, 45.00, 345.00
149, 2022-04-03, Daily Rental Fees, 1928, 60.00, 9.00, 69.00
150, 2022-04-03, Monthly Stand Fees, 1929, 175.00, 26.25, 201.25
151, 2022-04-04, Monthly Stand Fees, 1930, 175.00, 26.25, 201.25
152, 2022-04-04, Daily Rental Fees, 1931, 60.00, 9.00, 69.00
153, 2022-04-04, Monthly Stand Fees, 1932, 175.00, 26.25, 201.25
154, 2022-04-05, Monthly Stand Fees, 1933, 175.00, 26.25, 201.25
155, 2022-04-05, Weekly Rental Fees, 1934, 300.00, 45.00, 345.00
155, 2022-04-05, Weekly Rental Fees, 1935, 300.00, 45.00, 345.00
156, 2022-04-06, Daily Rental Fees, 1936, 60.00, 9.00, 69.00
157, 2022-04-06, Monthly Stand Fees, 1937, 175.00, 26.25, 201.25
158, 2022-04-06, Monthly Stand Fees, 1938, 175.00, 26.25, 201.25
159, 2022-04-07, Daily Rental Fees, 1939, 60.00, 9.00, 69.00
160, 2022-04-07, Monthly Stand Fees, 1940, 175.00, 26.25, 201.25
161, 2022-04-07, Monthly Stand Fees, 1941, 175.00, 26.25, 201.25
162, 2022-04-08, Daily Rental Fees, 1942, 60.00, 9.00, 69.00
