99, 2022-04-01, 1921, Repair, 1, 100.00, 1, 100.00, 15.00, 115.00
100, 2022-04-02, 1924, Supplies, 5, 12.99, 15, 194.85, 29.22, 224.00
101, 2022-04-03, 1926, Supplies, 7, 3.99, 30, 119.70, 17.95, 137.65
104, 2022-04-03, 1924, Repair, 2, 50.00, 1, 50.00, 7.50, 57.50
105, 2022-04-05, 1939, Repair, 3, 20.00, 1, 20.00, 3.00, 23.00
106, 2022-04-05, 1922, Repair, 4, 9.99, 4, 39.96, 5.99, 45.95
107, 2022-04-07, 1921, Supplies, 12, 4.99, 30, 149.70, 22.45, 172.15
108, 2022-04-07, 1924, Repair, 1, 100.00, 1, 100.00, 15.00, 115.00
109, 2022-04-09, 1926, Repair, 4, 9.99, 4, 39.96, 5.99, 45.95
110, 2022-04-10, 1930, Supplies, 5, 12.99, 15, 194.85, 29.22, 224.00
